# {"t_start": 1568601467.306734, "env_id": "HalfCheetah-v2"} 
r,l,t
-690.107598,1000,4.325614
-725.561968,1000,8.105697
-617.629994,1000,11.995996
-838.660442,1000,16.027512
-669.491125,1000,19.840708
-732.189686,1000,23.582298
-867.684637,1000,27.552033
-694.287464,1000,31.489436
-623.803936,1000,35.325217
-608.406066,1000,39.082974
-527.204812,1000,42.997597
-703.578875,1000,46.947544
-639.964527,1000,50.745957
-562.016607,1000,54.622858
-631.579165,1000,58.665411
-530.322156,1000,62.697125
-654.402599,1000,66.476651
-614.531664,1000,70.217863
-699.175939,1000,74.02818
-474.095637,1000,77.838329
-480.957707,1000,81.54833
-668.691595,1000,85.443366
-577.552725,1000,89.336884
-698.130417,1000,93.118922
-691.41037,1000,96.927439
-459.022347,1000,100.751955
-553.501003,1000,104.62435
-501.622566,1000,108.649898
-593.954401,1000,112.56096
-505.441183,1000,116.332543
-591.38452,1000,120.1747
-533.91015,1000,124.143636
-521.784778,1000,128.050327
-556.727569,1000,131.809458
-722.770343,1000,135.657726
-641.945173,1000,139.626967
-655.859853,1000,143.621459
-749.043748,1000,147.53969
-700.722091,1000,151.437704
-503.88026,1000,155.30762
-365.679463,1000,159.33073
-660.556564,1000,163.281766
-625.939355,1000,167.201497
-694.763752,1000,171.00894
-748.151546,1000,174.733101
-806.062686,1000,178.438241
-756.538404,1000,182.281973
-614.775704,1000,186.053345
-688.740795,1000,189.907638
-720.915947,1000,193.865205
-264.637939,1000,197.788607
-673.265074,1000,201.687707
-661.211831,1000,205.61116
-776.736953,1000,209.413733
